Congress,Total,YesBills
82,1616,17
83,1783,11
84,1921,18
85,1717,18
86,1292,15
87,1566,9
88,1024,16
89,1279,7
90,994,7
91,938,7
92,765,6
93,26201,468
94,24285,459
95,22313,374
96,14590,163
97,13236,168
98,12202,170
99,11602,152
100,11278,132
101,11747,150
102,12016,203
103,9822,199
104,7991,167
105,9141,195
106,10840,235
107,10789,225
108,10667,250
109,13068,291
110,14038,342
111,13675,363
112,12299,291
113,10636,252
114,12063,322
115,13556,376
116,16601,497
117,17148,574
