Title,Congress,House,Sponsor,SponsorParty,LatestAction,LatestActionMonth,LatestActionDay,LatestActionYear,URL
An Act for the Relief of Mr. and Mrs. Charles Fuxman and their two daughters,82,House,NA,NA,Became Private Law No. 82-998,7,16,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA203-3.pdf
"An Act for the Relief of Edward J. Voltin and wife, Tecla Voltin, and daughters Paula J. Voltin Sansom and Jacqueline Voltin",82,House,NA,NA,Became Private Law No. 82-818,7,10,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA142-2.pdf
An Act for the Relief of Mother Anna Fasulo,82,House,NA,NA,Became Private Law No. 82-766,6,30,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA119-3.pdf
"An Act to authorize the conveyance to the Columbia Hospital for Women and Lying-In Asylum of certain parcels of land in the District of Columbia, and for other purposes",82,House,NA,NA,Became Public Law No. 82-423,6,28,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg287.pdf
"An Act for the Relief of Sisters Dolores, Ills Martori, Maria Josefa Dalmau Valive, and Ramona Cabarrocas Canals",82,Senate,NA,NA,Became Private Law No. 82-719,6,27,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA103-4.pdf
"An Act to authorize the appointment of qualified women as physicians and specialists in the medical services of the Army, Navy, and Air Force",82,Senate,NA,NA,Became Public Law No. 82-408,6,24,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg155-2.pdf
"An Act for the Relief of Sisters Maria Salerno, Eufrasisa Binotto, Maria Ballatore, and Giovanna Buziol",82,House,NA,NA,Became Private Law No. 82-679,6,11,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA90-4.pdf
"An Act providing for the permanent residence of Sisters Adalgisa Bellagamba, Maria Rina Montecchio, Anna Taricco, Maria Caterina Crevanni, Elizabeth Baggio, Rosa Portale, Lorenzina DAmico, Assunta Bonfiglio, Maria DAmico, Lorenzina Scellato, Luiga Andreina Frate",82,House,NA,NA,Became Private Law No. 82-392,10,29,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA144.pdf
"An Act for the Relief of Sisters Maria DeRubertis, Agnese Cerina, Marianna Bonifacio, Dina Bonini, and Edvige Gasparini",82,House,NA,NA,Became Private Law No. 82-292,10,9,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA110.pdf
An Act for the Relief of five sisters of the Franciscan Missionaries of Mary,82,House,NA,NA,Became Private Law No. 82-296,10,9,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA111.pdf
"An Act to amend section 1732 of title 28, United States Code, entitled """"Judiciary and judicial procedure"""" by adding a new subsection thereto """"To permit the photographic reproduction of business records and the introduction of the same in evidence""""",82,House,NA,NA,Became Public Law No. 82-129,8,28,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg205.pdf
