Protecting Girls' Access to Education in Vulnerable Settings Act|115|Senate|Marco Rubio(R) |Became Public Law No: 115-442.|2019-01-14|https://www.congress.gov/115/bills/s1580/BILLS-115s1580enr.pdf
Women's Entrepreneurship and Economic Empowerment Act of 2018|115|Senate|John Boozman(R) |Became Public Law No: 115-428.|2019-01-09|https://www.congress.gov/115/bills/s3247/BILLS-115s3247enr.pdf
Preventing Maternal Deaths Act of 2018|115|House|Jaime Herrera Beutler(R) |Became Public Law No: 115-344.|2018-12-21|https://www.congress.gov/115/bills/hr1318/BILLS-115hr1318enr.pdf
Violence Against Women Extension Act of 2018|115|House|SHEILA JACKSON LEE(D) |Referred to the Committee on the Judiciary, and in addition to the Committees on Energy and Commerce, Education and the Workforce, Financial Services, Natural Resources, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2018-12-21|https://www.congress.gov/115/bills/hr7390/BILLS-115hr7390ih.pdf
Megan Rondini and Leah Griffin Sexual Assault Victims Protection Act of 2018|115|House|Ted Poe(R) |Referred to the Subcommittee on Health.|2018-12-20|https://www.congress.gov/115/bills/hr7292/BILLS-115hr7292ih.pdf
Protect our Girls Act of 2018|115|House|Scott Perry(R) |Referred to the House Committee on the Judiciary.|2018-12-20|https://www.congress.gov/115/bills/hr7381/BILLS-115hr7381ih.pdf
To provide that the Social Security Administration pay fees associated with obtaining a birth certificate or State identification card for purposes of obtaining a replacement social security card for certain victims of domestic violence, and for other purposes.|115|House|Charlie Crist(D) |Referred to the House Committee on Ways and Means.|2018-12-20|https://www.congress.gov/115/bills/hr7371/BILLS-115hr7371ih.pdf
National Commission to Combat Workplace Sexual Harassment Act|115|House|ELEANOR NORTON(D) |Sponsor introductory remarks on measure. (CR E1697)|2018-12-20|https://www.congress.gov/115/bills/hr7345/BILLS-115hr7345ih.pdf
MOMMA's Act|115|Senate|Richard Durbin(D) |Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S7791-7795)|2018-12-18|https://www.congress.gov/115/bills/s3776/BILLS-115s3776is.pdf
Ronald V. Dellums Memorial Fellowship for Women of Color in STEAM and National Security Act|115|House|BARBARA LEE(D) |Referred to the Committee on Education and the Workforce, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2018-12-13|https://www.congress.gov/115/bills/hr7307/BILLS-115hr7307ih.pdf
A resolution recognizing the heritage, culture, and contributions of American Indian, Alaska Native, and Native Hawaiian women in the United States.|115|Senate|Lisa Murkowski(R) |Resolution agreed to in Senate without amendment and with a preamble by Voice Vote.|2018-12-12|https://www.congress.gov/115/bills/sres444/BILLS-115sres444ats.pdf
Megan Rondini Sexual Assault Victims Protection Act of 2018|115|House|Ted Poe(R) |Referred to the Subcommittee on Health.|2018-12-12|https://www.congress.gov/115/bills/hr7222/BILLS-115hr7222ih.pdf
To direct the Secretary of the Interior to conduct a special resource study to determine the suitability and feasibility of establishing the birthplace of James Weldon Johnson in Jacksonville, Florida, as a unit of the National Park System.|115|House|Al Lawson(D) |Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.|2018-12-12|https://www.congress.gov/115/bills/hr5005/BILLS-115hr5005rfs.pdf
Women in Aerospace Education Act|115|House|Stephen Knight(R) |Became Public Law No: 115-303.|2018-12-11|https://www.congress.gov/115/bills/hr4254/BILLS-115hr4254enr.pdf
A bill to amend Rule 611 of the Federal Rules of Evidence to prohibit cross-examination by the accused of minor victims of sexual assault.|115|Senate|JEFF FLAKE(R) |Read twice and referred to the Committee on the Judiciary.|2018-12-10|https://www.congress.gov/115/bills/s3736/BILLS-115s3736is.pdf
Reproductive Rights are Human Rights Act of 2018|115|House|Katherine Clark(D) |Referred to the House Committee on Foreign Affairs.|2018-12-10|https://www.congress.gov/115/bills/hr7228/BILLS-115hr7228ih.pdf
A resolution celebrating the 160th anniversary of the Ladies Christian Association, which became the Young Women's Christian Association.|115|Senate|Heidi Heitkamp(D) |Referred to the Committee on the Judiciary. (text of measure as introduced: CR S7257)|2018-12-03|https://www.congress.gov/115/bills/sres713/BILLS-115sres713is.pdf
Violence Against Women Health Act of 2018|115|House|Debbie Dingell(D) |Referred to the House Committee on Energy and Commerce.|2018-12-03|https://www.congress.gov/115/bills/hr7212/BILLS-115hr7212ih.pdf
To amend the Internal Revenue Code of 1986 to allow the child tax credit with respect to stillbirths.|115|House|H. Griffith(R) |Referred to the House Committee on Ways and Means.|2018-11-30|https://www.congress.gov/115/bills/hr7208/BILLS-115hr7208ih.pdf
A concurrent resolution honoring the 75th anniversary of the All-American Girls Professional Baseball League.|115|Senate|Elizabeth Warren(D) |Referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S7245)|2018-11-29|https://www.congress.gov/115/bills/sconres53/BILLS-115sconres53is.pdf
Honoring the 75th anniversary of the All-American Girls Professional Baseball League (AAGPBL).|115|House|Stephen Lynch(D) |Referred to the House Committee on Oversight and Government Reform.|2018-11-29|https://www.congress.gov/115/bills/hconres143/BILLS-115hconres143ih.pdf
To amend the Internal Revenue Code of 1986 to allow certain veterans organizations to take into account the membership of spouses, widows, and widowers of members of the Armed Forces for purposes of determining tax exempt status.|115|House|ANNA ESHOO(D) |Referred to the House Committee on Ways and Means.|2018-11-27|https://www.congress.gov/115/bills/hr7174/BILLS-115hr7174ih.pdf
A resolution celebrating October 25, 2018, as the 30th anniversary of the passage of the Women's Business Ownership Act of 1988, while commending the unique entrepreneurial spirit shared by women small business owners of the United States.|115|Senate|James Risch(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7062-7063; text: CR S7056-7057)|2018-11-15|https://www.congress.gov/115/bills/sres693/BILLS-115sres693ats.pdf
A resolution acknowledging the 50th anniversary of the election to the House of Representatives of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.|115|Senate|Charles Schumer(D) |Referred to the Committee on the Judiciary. (text of measure as introduced: CR S7055)|2018-11-15|https://www.congress.gov/115/bills/sres689/BILLS-115sres689is.pdf
Remembering the 20th anniversary of Matthew Shepard's death and expressing Congress's continued support for the prevention of hate crimes and the advancement of equality for lesbian, gay, bisexual, transgender, and queer Americans.|115|House|Elizabeth Esty(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-11-15|https://www.congress.gov/115/bills/hres1121/BILLS-115hres1121ih.pdf
Sexual Harassment Awareness and Prevention Act of 2018|115|House|NYDIA VELAZQUEZ(D) |Referred to the Subcommittee on the Constitution and Civil Justice.|2018-11-15|https://www.congress.gov/115/bills/hr6925/BILLS-115hr6925ih.pdf
Pregnant Women in Custody Act|115|Senate|Rand Paul(R) |Read twice and referred to the Committee on the Judiciary.|2018-11-14|https://www.congress.gov/115/bills/s3616/BILLS-115s3616is.pdf
Congratulating Dr. Denis Mukwege and Nadia Murad for receiving the 2018 Nobel Peace Prize for their advocacy on behalf of the millions who have suffered from sexual violence as a result of conflict, and for other purposes.|115|House|Gwen Moore(D) |Referred to the House Committee on Foreign Affairs.|2018-11-14|https://www.congress.gov/115/bills/hres1147/BILLS-115hres1147ih.pdf
Promoting Women in the Aviation Workforce Act|115|House|Elizabeth Esty(D) |Placed on the Union Calendar, Calendar No. 797.|2018-11-13|https://www.congress.gov/115/bills/hr4673/BILLS-115hr4673rh.pdf
Acknowledging the 50th anniversary of the election of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.|115|House|Yvette Clarke(D) |Referred to the House Committee on House Administration.|2018-11-09|https://www.congress.gov/115/bills/hres1139/BILLS-115hres1139ih.pdf
Expressing support for the recognition of October as National Women's Small Business Month as a time to celebrate the growth and accomplishments of women entrepreneurs and small business owners, and to support efforts to increase awareness of the value of women-owned small businesses.|115|House|Alma Adams(D) |Referred to the House Committee on Small Business.|2018-10-26|https://www.congress.gov/115/bills/hres1134/BILLS-115hres1134ih.pdf
Minority Women in STEM Inclusion Act|115|House|Marc Veasey(D) |Referred to the House Committee on Science, Space, and Technology.|2018-10-26|https://www.congress.gov/115/bills/hr7092/BILLS-115hr7092ih.pdf
Expressing support for the designation of September 23 as "Mary Church Terrell Day", and calling on Congress to recognize Mary Church Terrell's lasting contributions to the civil rights and women's rights movements.|115|House|ELEANOR NORTON(D) |Referred to the House Committee on Oversight and Government Reform.|2018-10-12|https://www.congress.gov/115/bills/hres1126/BILLS-115hres1126ih.pdf
A resolution congratulating the Seattle Storm women's basketball team on winning the 2018 Women's National Basketball Association championship.|115|Senate|Patty Murray(D) |Referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S6823)|2018-10-11|https://www.congress.gov/115/bills/sres677/BILLS-115sres677is.pdf
Rural MOMS Act|115|Senate|Heidi Heitkamp(D) |Read twice and referred to the Committee on Health, Education, Labor, and Pensions.|2018-10-10|https://www.congress.gov/115/bills/s3568/BILLS-115s3568is.pdf
Sex Offender Registration and Victim Protection Act of 2018|115|House|Jody Hice(R) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-10-09|https://www.congress.gov/115/bills/hr6595/BILLS-115hr6595ih.pdf
Keeping Girls in School Act|115|House|Lois Frankel(D) |Referred to the House Committee on Foreign Affairs.|2018-10-09|https://www.congress.gov/115/bills/hr7055/BILLS-115hr7055ih.pdf
Combating Sexual Harassment in Science Act of 2018|115|House|EDDIE JOHNSON(D) |Referred to the House Committee on Science, Space, and Technology.|2018-10-05|https://www.congress.gov/115/bills/hr7031/BILLS-115hr7031ih.pdf
To designate the José Celso Barbosa Birthplace Home National Historic Landmark.|115|House|Jenniffer Gonzalez-Colon(R) |Referred to the Subcommittee on Federal Lands.|2018-10-02|https://www.congress.gov/115/bills/hr6881/BILLS-115hr6881ih.pdf
Women's Pension Protection Act of 2018|115|House|JANICE SCHAKOWSKY(D) |Referred to the Committee on Education and the Workforce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2018-10-02|https://www.congress.gov/115/bills/hr7026/BILLS-115hr7026ih.pdf
