title,Congress,House,Sponsor,Sponsor.Party,LatestAction,LatestActionMonth,LatestActionDay,LatestActionYear,URL,term
An Act for the Relief of Mr. and Mrs. Charles Fuxman and their two daughters,82,House,NA,NA,Became Private Law No. 82-998,7,16,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA203-3.pdf,daughters
"An Act for the Relief of Edward J. Voltin and wife, Tecla Voltin, and daughters Paula J. Voltin Sansom and Jacqueline Voltin",82,House,NA,NA,Became Private Law No. 82-818,7,10,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA142-2.pdf,daughters
"An Act to authorize the appointment of qualified women as physicians and specialists in the medical services of the Army, Navy, and Air Force",82,Senate,NA,NA,Became Public Law No. 82-408,6,24,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg155-2.pdf,women
An Act for the Relief of five sisters of the Franciscan Missionaries of Mary,82,House,NA,NA,Became Private Law No. 82-296,10,9,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA111.pdf,sisters
"An Act to amend section 1732 of title 28, United States Code, entitled """"Judiciary and judicial procedure"""" by adding a new subsection thereto """"To permit the photographic reproduction of business records and the introduction of the same in evidence""""",82,House,NA,NA,Became Public Law No. 82-129,8,28,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg205.pdf,reproduction
"An Act to provide appropriate lapel buttons for widows, parents, and next of kin of members of the Armed Forces who lost or lose their lives in the armed services of the United States during World War II or during any subsequent war or period of armed hostilities in which the United States may be engaged",82,House,NA,NA,Became Public Law No. 82-121,8,21,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg195.pdf,widows
"An Act for the Relief of Franz Furtner, his wife, Valentina Furtner, and her daughters, Nina Tuerck and Victoria Tuerck",82,House,NA,NA,Became Private Law No. 82-215,8,17,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA82-2.pdf,daughters
"An Act for the Relief of Geraldine L. Smith, mother and natural guardian of Thomas Clayton Smith, a minor",82,House,NA,NA,Became Private Law No. 82-7,3,24,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA5.pdf,mother
An Act to provide survivor benefits for widows of the Chief Justice and the Associate Justices of the Supreme Court of the United States.,83,Senate,NA,NA,Became Public Law No. 83-702,8,28,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg918.pdf,widows
"An Act to amend the Merchant Marine Act, 1936, to provide permanent legislation for the transportation of a substantial portion of waterborne cargoes in United States flag vessels",83,Senate,NA,NA,Became Public Law No. 83-664,8,26,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg832.pdf,born
Joint resolution to establish a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton,83,Senate,NA,NA,Became Public Law No. 83-601,8,20,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg746.pdf,birth
An Act for the Relief of Frantisek Vyborny.,83,Senate,NA,NA,Became Private Law No. 83-647,8,13,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-PgA157.pdf,born
"Joint resolution to amend the Act of August 20, 1954, establishing a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton",84,House,NA,NA,Became Public Law No. 84-1002,8,6,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1067.pdf,birth
"An Act to amend the joint resolution entitled """"Joint resolution to establish a commission for the celebration of the 100th anniversary of the birth of Theodore Roosevelt """" approved July 28, 1955",84,Senate,NA,NA,Became Public Law No. 84-980,8,6,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1035.pdf,birth
"An Act to amend title 28, United States Code, to provide for the payment of annuities to widows and dependent children of judges.",84,House,NA,NA,Became Public Law No. 84-973,8,3,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg1021.pdf,widows
"An Act to amend title II of the Social Security Act to provide disability insurance benefits for certain disabled individuals who have attained age 50, to reduce to age 62 the age on the basis of which benefits are payable to certain women, to provide for continue",84,House,NA,NA,Became Public Law No. 84-880,8,1,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg807.pdf,women
"An Act to authorize female Reserve officers of the Army or Air Force appointed as nurses or women medical specialists to be members of the Army National Guard of the United States or Air National Guard of the United States, as appropriate",84,House,NA,NA,Became Public Law No. 84-845,7,30,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg729.pdf,women
"An Act to authorize female Reserve officers of the Army or Air Force appointed as nurses or women medical specialists to be members of the Army National Guard of the United States or Air National Guard of the United States, as appropriate",84,House,NA,NA,Became Public Law No. 84-845,7,30,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg729.pdf,female
An Act to provide for the striking of medals in commemoration of the 100th anniversary of the birth of the late Justice Louis Dembitz Brandeis.,84,House,NA,NA,Became Public Law No. 84-727,7,18,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg566.pdf,birth
An Act to provide for the delayed reporting of births within the District of Columbia.,84,House,NA,NA,Became Public Law No. 84-649,7,2,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg487.pdf,birth
"An Act to amend title II of the Women¬ís Armed Services Integration Act of 1948, by providing flexibility in the distribution of women officers in the grades of commander and lieutenant commander, and for other purposes.",84,House,NA,NA,Became Public Law No. 84-585,6,15,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg285.pdf,women
Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of Woodrow Wilson,84,House,NA,NA,Became Public Law No. 84-493,4,27,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg118.pdf,birth
"An Act to amend the copyright law to permit, in certain classes of works, the deposit of photographs or other identifying reproductions in lieu of copies of published works",84,House,NA,NA,Became Public Law No. 84-452,3,29,1956,https://www.congress.gov/84/statute/STATUTE-70/STATUTE-70-Pg63.pdf,reproduction
An Act to amend the Public Health Service Act to authorize grants to States for the purpose of assisting States to provide children and expectant mothers an opportunity for vaccination against poliomyelitis,84,Senate,NA,NA,Became Public Law No. 84-377,8,12,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg704.pdf,mother
"An Act to amend the joint resolution entitled """"Joint resolution to establish a commission for the celebration of the 200th anniversary of the birth of Alexander Hamilton,"""" approved August 20, 1954.",84,Senate,NA,NA,Became Public Law No. 84-358,8,11,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg681.pdf,birth
"An Act to authorize the issuance of commemorative medals to certain societies of which Benjamin Franklin was a member, founder, or sponsor in observance of the 250th anniversary of his birth.",84,Senate,NA,NA,Became Public Law No. 84-259,8,9,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg541.pdf,birth
"An Act to further amend section 106 of the Army-Navy Nurses Act of 1947 so as to provide for certain adjustments in the dates of rank of nurses and women medical specialists of the Regular Army and Regular Air Force in the permanent grade of captain, and for other purposes",84,House,NA,NA,Became Public Law No. 84-229,8,4,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg492-2.pdf,women
Joint resolution to establish a commission for the celebration of the one-hundredth anniversary of the birth of Theodore Roosevelt,84,House,NA,NA,Became Public Law No. 84-183,7,28,1955,https://www.congress.gov/84/statute/STATUTE-69/STATUTE-69-Pg383.pdf,birth
"An Act to require the Commissioner of Education to encourage, foster, and assist in the establishment of clubs for boys and girls especially interested in science",85,House,NA,NA,Became Public Law No. 85-875,9,2,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg1700.pdf,girl
"An Act to amend title II of the Social Security Act to provide that a widow or former wife divorced who loses mothers insurance benefits by remarriage may again become entitled if her husband dies within 1 year of such remarriage, to provide that interstate instrumentalities may secure coverage for policemen and firemen in positions under a retirement system of the instrumentality.",85,House,NA,NA,Became Public Law No. 85-798,8,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg964.pdf,mother
"An Act to increase benefits under the Federal old-age, survivors, and disability insurance system, to improve the actuarial status of the trust funds of such system, and otherwise improve such system; to amend the public assistance and maternal and child health",85,House,NA,NA,Became Public Law No. 85-840,8,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg1013.pdf,maternal
Joint resolution providing for a joint session of Congress for commemorating the one hundred and fiftieth anniversary of the birth of Abraham Lincoln,85,House,NA,NA,Became Public Law No. 85-775,8,27,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg932.pdf,birth
An Act to extend certain veterans benefits to or on behalf of dependent husbands and widowers of female veterans.,85,House,NA,NA,Became Public Law No. 85-655,8,14,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg611-2.pdf,female
"An Act to increase the monthly rates of pension payable to widows and former widows of deceased veterans of the Spanish-American War, Civil War, Indian War, and Mexican War, and provide pensions to widows of veterans who served in the military or naval forces of the Confederate States of America during the Civil War",85,House,NA,NA,Became Public Law No. 85-425,5,23,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg133-2.pdf,widows
Joint resolution Authorizing the One Hundred and First Airborne Division Association to erect a memorial in the District of Columbia,85,House,NA,NA,Became Public Law No. 85-403,5,16,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg112.pdf,born
"An Act to amend the act entitled """"An Act relating to children born out of wedlock,"""" approved January 11, 1951.",85,Senate,NA,NA,Became Public Law No. 85-382,4,23,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg97.pdf,born
"Joint resolution to amend the Act of August 20, 1954, establishing a commission for the celebration of the two hundredth anniversary of the birth of Alexander Hamilton.",85,House,NA,NA,Became Public Law No. 85-353,3,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg60.pdf,birth
An Act to increase from $50 to $75 per month the amount of benefits payable to widows of certain former employees of the Lighthouse Service.,85,Senate,NA,NA,Became Public Law No. 85-351,3,28,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg49-2.pdf,widows
An Act to amend the Internal Revenue Code of 1954 to prevent unjust enrichment by precluding refunds of alcohol and tobacco taxes to persons who have not borne the ultimate burden of the tax,85,House,NA,NA,Became Public Law No. 85-323,2,11,1958,https://www.congress.gov/85/statute/STATUTE-72/STATUTE-72-Pg8.pdf,born
Joint resolution authorize and request the President to issue a proclamation in connection with the centennial of the birth of Theodore Roosevelt,85,Senate,NA,NA,Became Public Law No. 85-297,9,4,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg617-3.pdf,birth
"An Act to provide for the relief of certain female members of the Air Force, and for other purposes.",85,House,NA,NA,Became Public Law No. 85-272,9,2,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg597.pdf,female
An Act to liberalize certain criteria for determining eligibility of widows for benefits.,85,House,NA,NA,Became Public Law No. 85-209,8,28,1957,https://www.congress.gov/85/statute/STATUTE-71/STATUTE-71-Pg485.pdf,widows
"An Act to extend and improve coverage under the Federal old-age, survivors, and disability insurance system and to remove hardships and inequities, improve the financing of the trust funds, and provide disability benefits to additional individuals under such system; to provide grants to States for medical care for aged individuals of low income; to amend the public assistance and maternal and child welfare provisions of the Social Security Act; to improve the unemployment compensation provisions of such Act; and for other purposes",86,House,NA,NA,Became Public Law No. 86-778,9,13,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg924.pdf,maternal
"Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of Jane Addams, founder and leader of Chicago's Hull House",86,House,NA,NA,Became Public Law No. 86-698,9,2,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg742.pdf,birth
"An Act to amend the act entitled """"An Act to provide for the better registration of births in the District of Columbia, and for other purposes""""",86,Senate,NA,NA,Became Public Law No. 86-524,6,27,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg221.pdf,birth
Joint resolution to authorize and request the President to issue a proclamation in connection with the centennial of the birth of General of the Armies John J. Pershing,86,House,NA,NA,Became Public Law No. 86-483,6,1,1960,https://www.congress.gov/86/statute/STATUTE-74/STATUTE-74-Pg153.pdf,birth
"An Act to modify the pension programs for veterans of World War I, World II, and the Korean conflict, and their widows and children",86,House,NA,NA,Became Public Law No. 86-211,8,29,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg432-2.pdf,widows
An Act to provide for payment of annuities to widows and dependent children of Comptrollers General,86,House,NA,NA,Became Public Law No. 86-87,7,13,1959,https://www.congress.gov/86/statute/STATUTE-73/STATUTE-73-Pg197.pdf,widows
