Expressing the sense of the House of Representatives regarding the need for State legislatures to pass comprehensive sexual assault kit reforms.|117|House|David Joyce(R) |Referred to the House Committee on the Judiciary.|2022-11-22|https://www.congress.gov/117/bills/hres1492/BILLS-117hres1492ih.pdf
A concurrent resolution expressing support for the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family and urging that the United States be added as a signatory.|117|Senate|Steve Daines(R) |Referred to the Committee on Foreign Relations. (text: CR S6786-6787)|2022-11-17|https://www.congress.gov/117/bills/sconres49/BILLS-117sconres49is.pdf
A bill to amend the Child Nutrition Act of 1966 to require the authorization of frozen fruits and vegetables under the special supplemental nutrition program for women, infants, and children.|117|Senate|Roger Marshall(R) |Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.|2022-11-17|https://www.congress.gov/117/bills/s5116/BILLS-117s5116is.pdf
A bill to make a technical amendment to the Violence Against Women Act of 1994, and for other purposes.|117|Senate|Mazie Hirono(D) |Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent. (consideration: CR S6762-6763; text: CR S6762)|2022-11-17|https://www.congress.gov/117/bills/s7/BILLS-117s7es.pdf
Expressing support for the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family and urging that the United States be added as a signatory.|117|House|Jim Banks(R) |Referred to the House Committee on Foreign Affairs.|2022-11-17|https://www.congress.gov/117/bills/hconres115/BILLS-117hconres115ih.pdf
Supporting the goals and principles of Transgender Day of Remembrance by recognizing the epidemic of violence toward transgender people and memorializing the lives lost this year.|117|House|Marie Newman(D) |Referred to the House Committee on the Judiciary.|2022-11-17|https://www.congress.gov/117/bills/hres1488/BILLS-117hres1488ih.pdf
A resolution supporting the goals and ideals of National Domestic Violence Awareness Month.|117|Senate|Dianne Feinstein(D) |Resolution agreed to in Senate without amendment and with a preamble by Voice Vote. (consideration: CR S6747; text: 10/11/2022 CR S6473-6474)|2022-11-16|https://www.congress.gov/117/bills/sres827/BILLS-117sres827ats.pdf
Of inquiry requesting the President and directing the Secretary of Defense to transmit to the House of Representatives any record created on or after January 21, 2021, under the control of the President or the Secretary, respectively, that refers to the Department of Defense and includes certain terms and phrases relating to gender.|117|House|Andrew Clyde(R) |Referred to the House Committee on Armed Services.|2022-11-16|https://www.congress.gov/117/bills/hres1475/BILLS-117hres1475ih.pdf
Providing for consideration of the bill (S. 4524) to limit the judicial enforceability of predispute nondisclosure and nondisparagement contract clauses relating to disputes involving sexual assault and sexual harassment; and for other purposes.|117|House|Mary Scanlon(D) |Motion to reconsider laid on the table Agreed to without objection.|2022-11-15|https://www.congress.gov/117/bills/hres1464/BILLS-117hres1464eh.pdf
The Jackie Walorski Maternal and Child Home Visiting Reauthorization Act of 2022|117|House|DANNY DAVIS(D) |House Committee on Energy and Commerce Granted an extension for further consideration ending not later than Nov. 30, 2022.|2022-11-15|https://www.congress.gov/117/bills/hr8876/BILLS-117hr8876ih.pdf
To authorize the location of a monument on the National Mall to commemorate and honor the women's suffrage movement and the passage of the 19th Amendment to the Constitution, and for other purposes.|117|House|Joe Neguse(D) |Referred to the House Committee on Natural Resources.|2022-11-03|https://www.congress.gov/117/bills/hr9268/BILLS-117hr9268ih.pdf
Menstrual Equity For All Act of 2021|117|House|Grace Meng(D) |Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.|2022-11-01|https://www.congress.gov/117/bills/hr3614/BILLS-117hr3614ih.pdf
Abortion Care Awareness Act of 2022|117|House|CAROLYN MALONEY(D) |Referred to the House Committee on Energy and Commerce.|2022-10-28|https://www.congress.gov/117/bills/hr9247/BILLS-117hr9247ih.pdf
Original National Domestic Violence Awareness Month Resolution of 2022|117|House|Al Green(D) |Referred to the House Committee on Education and Labor.|2022-10-28|https://www.congress.gov/117/bills/hres1451/BILLS-117hres1451ih.pdf
HHS Reproductive and Sexual Health Ombuds Act of 2022|117|House|Nikema Williams(D) |Referred to the House Committee on Energy and Commerce.|2022-10-28|https://www.congress.gov/117/bills/hr9254/BILLS-117hr9254ih.pdf
Supporting Women COPS Act of 2022|117|House|Deborah Ross(D) |Referred to the House Committee on the Judiciary.|2022-10-25|https://www.congress.gov/117/bills/hr9235/BILLS-117hr9235ih.pdf
Recognizing and commemorating the 100th anniversary of the birth of His Holiness Pramukh Swami Maharaj, the spiritual leader of the BAPS Swaminarayan Sanstha.|117|House|Andrew Garbarino(R) |Referred to the House Committee on Oversight and Reform.|2022-10-25|https://www.congress.gov/117/bills/hres1447/BILLS-117hres1447ih.pdf
Condemning the Kingdom of Saudi Arabia's inhumane treatment of Salma al-Shehab and other women's rights defenders.|117|House|Jackie Speier(D) |Referred to the House Committee on Foreign Affairs.|2022-10-21|https://www.congress.gov/117/bills/hres1444/BILLS-117hres1444ih.pdf
