An Act to amend title 38, United States Code, so as to revise the pension program for veterans of World War I, World War II, and the Korean conflict, and their widows and children, and for other purposes|88|House|NA|Became Public Law No. 88-664|1964-10-13|https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg1094.pdf
An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment and provide certain services to the Girl Scouts of the United States of America for use at the 1965 International Senior Girl Scouts roundup encampment, and for other purposes|88|House|NA|Became Public Law No. 88-432|1964-08-14|https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg440.pdf
Joint resolution for the commemoration of the Honorable Herbert Hoover's ninetieth birthday, August 10,1964|88|Senate|NA|Became Public Law No. 88-403|1964-08-04|https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg381.pdf
An Act to amend section 503 of the Federal Property and Administrative Services Act of 1949, as amended, to authorize grants for the collection, reproduction, and publication of documentary source material significant to the history of the United States, and for|88|House|NA|Became Public Law No. 88-383|1964-07-28|https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg335-2.pdf
An Act to amend section 712 of title 38 of the United States Code to provide for waiver of premiums for certain veterans holding national service life insurance policies who became or have become totally disabled before their 65th birthday|88|House|NA|Became Public Law No. 88-364|1964-07-07|https://www.congress.gov/88/statute/STATUTE-78/STATUTE-78-Pg302.pdf
An Act for the Relief of Maria Mereghetti (Mother Benedetta) and Annunziata Colombo (Mother Cherubina).|88|House|NA|Became Private Law No. 88-150|1963-12-23|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg927-3.pdf
An Act granting an extension of patent to the United Daughters of the Confederacy|88|House|NA|Became Public Law No. 88-213|1963-12-18|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg421-2.pdf
An Act to provide for the striking of medals in commemoration of the 50th anniversary of the founding of the first union health center in the United States by the International Ladies Garment Workers Union|88|House|NA|Became Public Law No. 88-185|1963-11-20|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg340.pdf
An Act to amend the Social Security Act to assist States and communities in preventing and combating mental retardation through expansion and improvement of the maternal and child health and crippled children's programs, through provision of prenatal, maternity, and infant care for individuals with conditions associated with childbearing which may lead to mental retardation, and through planning for comprehensive action to combat mental retardation, and for other purposes.|88|House|NA|Became Public Law No. 88-156|1963-10-24|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg273.pdf
An Act to furnish to the Padre Junipero Serra 250th Anniversary Association medals in commemoration of this 250th anniversary of his birth.|88|Senate|NA|Became Public Law No. 88-143|1963-10-16|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg251.pdf
An Act to amend section 411(a) of title 38, United States Code, to increase the rates of dependency and indemnity compensation payable to widows of veterans dying from service-connected disabilities|88|House|NA|Became Public Law No. 88-134|1963-10-05|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg223-2.pdf
An Act for the Relief of the Middlesex Concrete Products and Excavating Corporation.|88|Senate|NA|Became Private Law No. 88-34|1963-08-19|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg885.pdf
An Act for the Relief of Melborn Keat.|88|House|NA|Became Private Law No. 88-7|1963-06-21|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg876.pdf
An Act to prohibit discrimination on account of sex in the payment of wages by employers engaged in commerce or in the production of goods for commerce and to provide for the restitution of wages lost by employees by reason of any such discrimination.|88|Senate|NA|Became Public Law No. 88-38|1963-06-10|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg56.pdf
An Act authorizing the Association of Universalist Women (a nonprofit corporation in the District of Columbia) to consolidate with the Alliance of Unitarian Women (a nonprofit corporation in the State of Massachusetts).|88|Senate|NA|Became Public Law No. 88-19|1963-05-15|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg15-2.pdf
An Act to amend the Internal Revenue Code of 1954 to provide that the deduction for child care expenses shall be available to a wife who has been deserted by and cannot locate her husband on the same basis as a single woman|88|House|NA|Became Public Law No. 88-4|1963-04-02|https://www.congress.gov/88/statute/STATUTE-77/STATUTE-77-Pg4-2.pdf
