Congress,Start Year,End Year,Women in the Senate,Senate Democrats,Senate Republicans,Women in the House, House Democrats,House Republicans,Total Women,Total Democrats,Total Republicans
65,1917,1919,0,0,0,1,0,1,1,0,1
66,1919,1921,0,0,0,0,0,0,0,0,0
67,1921,1923,1,1,0,3,0,3,4,1,3
68,1923,1925,0,0,0,1,0,1,1,0,1
69,1925,1927,0,0,0,3,1,2,3,1,2
70,1927,1929,0,0,0,5,2,3,5,2,3
71,1929,1931,0,0,0,9,5,4,9,5,4
72,1931,1933,1,1,0,7,5,2,8,6,2
73,1933,1935,1,1,0,7,4,3,8,5,3
74,1935,1937,2,2,0,6,4,2,8,6,2
75,1937,1939,2,1,1,6,5,1,8,6,2
76,1939,1941,1,1,0,8,4,4,9,5,4
77,1941,1943,1,1,0,9,4,5,10,5,5
78,1943,1945,1,1,0,8,2,6,9,3,6
79,1945,1947,0,0,0,11,6,5,11,6,5
80,1947,1949,1,0,1,7,3,4,8,3,5
81,1949,1951,1,0,1,9,5,4,10,5,5
82,1951,1953,1,0,1,10,4,6,11,4,7
83,1953,1955,2,0,2,11,5,6,13,5,8
84,1955,1957,1,0,1,16,10,6,17,10,7
85,1957,1959,1,0,1,15,9,6,16,9,7
86,1959,1961,2,1,1,17,9,8,19,10,9
87,1961,1963,2,1,1,18,11,7,20,12,8
88,1963,1965,2,1,1,12,6,6,14,7,7
89,1965,1967,2,1,1,11,7,4,13,8,5
90,1967,1969,1,0,1,11,6,5,12,6,6
91,1969,1971,1,0,1,10,6,4,11,6,5
92,1971,1973,2,1,1,13,10,3,15,11,4
93,1973,1975,0,0,0,16,14,2,16,14,2
94,1975,1977,0,0,0,19,14,5,19,14,5
95,1977,1979,2,2,0,18,13,5,20,15,5
96,1979,1981,1,0,1,16,11,5,17,11,6
97,1981,1983,2,0,2,21,11,10,23,11,12
98,1983,1985,2,0,2,22,13,9,24,13,11
99,1985,1987,2,0,2,23,12,11,25,12,13
100,1987,1989,2,1,1,23,12,11,25,13,12
101,1989,1991,2,1,1,29,16,13,31,17,14
102,1991,1993,4,3,1,28,19,9,32,22,10
103,1993,1995,7,5,2,47,35,12,54,40,14
104,1995,1997,9,5,4,48,31,17,57,36,21
105,1997,1999,9,6,3,54,37,17,63,43,20
106,1999,2001,9,6,3,56,39,17,65,45,20
107,2001,2003,13,9,4,59,41,18,72,50,22
108,2003,2005,14,9,5,60,39,21,74,48,26
109,2005,2007,14,9,5,68,43,25,82,52,30
110,2007,2009,16,11,5,72,52,20,88,63,25
111,2009,2011,17,13,4,73,56,17,90,69,21
112,2011,2013,17,12,5,73,49,24,90,61,29
113,2013,2015,20,16,4,80,61,19,100,77,23
114,2015,2017,20,14,6,85,63,22,105,77,28
115,2017,2019,23,17,6,87,64,23,110,81,29
116,2019,2021,25,17,8,101,88,13,126,105,21
117,2021,2022,24,16,8,123,91,32,147,107,40
