Title,Congress,House,Sponsor,SponsorParty,LatestAction,Date,LatestActionMonth,LatestActionDay,LatestActionYear,URL,Term
An Act for the Relief of Mr. and Mrs. Charles Fuxman and their two daughters,82,House,NA,NA,Became Private Law No. 82-998,7/16/52,7,16,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA203-3.pdf,daughters
"An Act for the Relief of Edward J. Voltin and wife, Tecla Voltin, and daughters Paula J. Voltin Sansom and Jacqueline Voltin",82,House,NA,NA,Became Private Law No. 82-818,7/10/52,7,10,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA142-2.pdf,daughters
An Act for the Relief of Mother Anna Fasulo,82,House,NA,NA,Became Private Law No. 82-766,6/30/52,6,30,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-PgA119-3.pdf,mother
"An Act to authorize the conveyance to the Columbia Hospital for Women and Lying-In Asylum of certain parcels of land in the District of Columbia, and for other purposes",82,House,NA,NA,Became Public Law No. 82-423,6/28/52,6,28,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg287.pdf,women
"An Act to authorize the appointment of qualified women as physicians and specialists in the medical services of the Army, Navy, and Air Force",82,Senate,NA,NA,Became Public Law No. 82-408,6/24/52,6,24,1952,https://www.congress.gov/82/statute/STATUTE-66/STATUTE-66-Pg155-2.pdf,women
"An Act to amend section 1732 of title 28, United States Code, entitled """"Judiciary and judicial procedure"""" by adding a new subsection thereto """"To permit the photographic reproduction of business records and the introduction of the same in evidence""""",82,House,NA,NA,Became Public Law No. 82-129,8/28/51,8,28,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg205.pdf,reproduction
"An Act to provide appropriate lapel buttons for widows, parents, and next of kin of members of the Armed Forces who lost or lose their lives in the armed services of the United States during World War II or during any subsequent war or period of armed hostilities in which the United States may be engaged",82,House,NA,NA,Became Public Law No. 82-121,8/21/51,8,21,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg195.pdf,widows
"An Act for the Relief of Franz Furtner, his wife, Valentina Furtner, and her daughters, Nina Tuerck and Victoria Tuerck",82,House,NA,NA,Became Private Law No. 82-215,8/17/51,8,17,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA82-2.pdf,daughters
"An Act to protect the Girl Scouts of the United States of America in the use of emblems and badges, descriptive or designating marks, and words or phrases heretofore adopted and to clarify existing law relating thereto",82,House,NA,NA,Became Public Law No. 82-117,8/17/51,8,17,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg192.pdf,girl
An Act to provide that children be committed to the Board of Public Welfare in lieu of being committed to the National Training School for Girls; that the property and personnel of the National Training School for Girls be available for the care of children committed to or accepted by the Board of Public Welfare; and for other purposes,82,Senate,NA,NA,Became Public Law No. 82-105,8/3/51,8,3,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg154.pdf,girl
"An Act to amend section 2 of the act entitled """"An Act to incorporate the National Society of the Daughters of the American Revolution.""""",82,House,NA,NA,Became Public Law No. 82-93,7/30/51,7,30,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg130.pdf,daughters
An Act to authorize the printing of the annual reports of the Girl Scouts of the United States of America as separate House documents,82,House,NA,NA,Became Public Law No. 82-18,4/16/51,4,16,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-Pg31.pdf,girl
"An Act for the Relief of Geraldine L. Smith, mother and natural guardian of Thomas Clayton Smith, a minor",82,House,NA,NA,Became Private Law No. 82-7,3/24/51,3,24,1951,https://www.congress.gov/82/statute/STATUTE-65/STATUTE-65-PgA5.pdf,mother
An Act to provide survivor benefits for widows of the Chief Justice and the Associate Justices of the Supreme Court of the United States.,83,Senate,NA,NA,Became Public Law No. 83-702,8/28/54,8,28,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg918.pdf,widows
An Act to provide benefits under the laws administered by the Veterans Administration based upon service in the Womens Army Auxiliary Corps under certain conditions,83,House,NA,NA,Became Public Law No. 83-650,8/24/54,8,24,1954,https://www.congress.gov/83/statute/STATUTE-68/STATUTE-68-Pg789.pdf,women
"An Act to amend the charter of the Girl Scouts of the United States of America so as to limit membership on the National Council of Girl Scouts to citizens of the United States, to authorize meetings of the national council as provided in the constitution, and to authorize an annual report based upon the preceding fiscal year.",83,House,NA,NA,Became Public Law No. 83-272,8/14/53,8,14,1953,https://www.congress.gov/83/statute/STATUTE-67/STATUTE-67-Pg582.pdf,girl
